id_pedido,probabilidad_completado,prediccion,estado_predicho,real
10918,0.6,1,COMPLETE,COMPLETE
146568,0.4666666666666667,0,CANCELED,CANCELED
46620,0.6666666666666666,1,COMPLETE,CANCELED
65305,0.8666666666666667,1,COMPLETE,COMPLETE
137423,0.6666666666666666,1,COMPLETE,COMPLETE
69416,0.7333333333333333,1,COMPLETE,COMPLETE
105656,0.5333333333333333,1,COMPLETE,CANCELED
132383,0.6666666666666666,1,COMPLETE,COMPLETE
11887,0.7333333333333333,1,COMPLETE,COMPLETE
24176,0.4,0,CANCELED,COMPLETE
45018,0.8666666666666667,1,COMPLETE,CANCELED
11669,0.6,1,COMPLETE,COMPLETE
52939,0.7333333333333333,1,COMPLETE,CANCELED
113284,0.5333333333333333,1,COMPLETE,CANCELED
20000,0.8666666666666667,1,COMPLETE,CANCELED
150483,0.8666666666666667,1,COMPLETE,CANCELED
135438,0.5333333333333333,1,COMPLETE,COMPLETE
97199,0.6,1,COMPLETE,COMPLETE
38147,0.6666666666666666,1,COMPLETE,COMPLETE
9332,0.6666666666666666,1,COMPLETE,COMPLETE
54059,0.4,0,CANCELED,COMPLETE
65613,0.5333333333333333,1,COMPLETE,CANCELED
128706,0.6666666666666666,1,COMPLETE,CANCELED
35157,0.6,1,COMPLETE,COMPLETE
32413,0.7333333333333333,1,COMPLETE,COMPLETE
50788,0.7333333333333333,1,COMPLETE,COMPLETE
50274,0.5333333333333333,1,COMPLETE,CANCELED
51298,0.6666666666666666,1,COMPLETE,COMPLETE
114911,0.7333333333333333,1,COMPLETE,CANCELED
121647,0.6,1,COMPLETE,CANCELED
22410,0.8666666666666667,1,COMPLETE,COMPLETE
49230,0.8666666666666667,1,COMPLETE,COMPLETE
117093,0.8666666666666667,1,COMPLETE,COMPLETE
135128,0.8,1,COMPLETE,COMPLETE
116808,0.6666666666666666,1,COMPLETE,COMPLETE
4952,0.7333333333333333,1,COMPLETE,CANCELED
27139,0.8,1,COMPLETE,COMPLETE
143189,0.6666666666666666,1,COMPLETE,CANCELED
57405,0.6666666666666666,1,COMPLETE,CANCELED
8400,0.3333333333333333,0,CANCELED,COMPLETE
61994,0.8,1,COMPLETE,COMPLETE
77421,0.8,1,COMPLETE,COMPLETE
130144,0.6666666666666666,1,COMPLETE,COMPLETE
56840,0.6666666666666666,1,COMPLETE,COMPLETE
132688,0.7333333333333333,1,COMPLETE,CANCELED
51002,0.7333333333333333,1,COMPLETE,CANCELED
71516,0.8,1,COMPLETE,COMPLETE
19728,0.6666666666666666,1,COMPLETE,CANCELED
32099,0.7333333333333333,1,COMPLETE,CANCELED
77171,0.6666666666666666,1,COMPLETE,COMPLETE
81031,0.9333333333333333,1,COMPLETE,CANCELED
3402,0.6,1,COMPLETE,COMPLETE
80318,0.8666666666666667,1,COMPLETE,CANCELED
2784,0.6666666666666666,1,COMPLETE,COMPLETE
23022,0.8,1,COMPLETE,COMPLETE
67898,0.6,1,COMPLETE,COMPLETE
36773,0.6666666666666666,1,COMPLETE,COMPLETE
98049,0.3333333333333333,0,CANCELED,COMPLETE
57297,0.6,1,COMPLETE,COMPLETE
36378,0.6666666666666666,1,COMPLETE,COMPLETE
122792,0.7333333333333333,1,COMPLETE,COMPLETE
28837,0.6666666666666666,1,COMPLETE,CANCELED
16051,0.8666666666666667,1,COMPLETE,COMPLETE
54017,0.7333333333333333,1,COMPLETE,COMPLETE
97458,0.8,1,COMPLETE,COMPLETE
107990,0.6,1,COMPLETE,COMPLETE
123976,0.7333333333333333,1,COMPLETE,COMPLETE
19238,0.8,1,COMPLETE,CANCELED
54502,0.8,1,COMPLETE,COMPLETE
85769,0.6666666666666666,1,COMPLETE,COMPLETE
124996,0.6666666666666666,1,COMPLETE,COMPLETE
78706,0.8,1,COMPLETE,CANCELED
130170,0.8,1,COMPLETE,COMPLETE
63930,0.6,1,COMPLETE,COMPLETE
11901,0.8,1,COMPLETE,COMPLETE
36272,0.8,1,COMPLETE,COMPLETE
101452,0.6666666666666666,1,COMPLETE,CANCELED
23949,0.7333333333333333,1,COMPLETE,COMPLETE
26973,0.7333333333333333,1,COMPLETE,CANCELED
150611,0.4666666666666667,0,CANCELED,COMPLETE
70015,0.8,1,COMPLETE,COMPLETE
19554,0.7333333333333333,1,COMPLETE,CANCELED
82797,0.7333333333333333,1,COMPLETE,CANCELED
